Alimento,Calorias,Grasas,Proteinas,Carbohidratos
CHORIZO ,123.0,11,6,0
GELATINA ,10.0,0,2,1
KISS HERSHEY'S,110.0,7,2,14
HOT CAKES,193.0,4,7,33
NOPALES,16.0,0,1,3
ESPINACAS,20.0,0,3,2
ACELGA ,20.0,0,2,41
TUNA ,41.0,1,1,10
NUECES ,70.0,5,3,3
MERMELADA DE CHABACANO,40.0,0,0,9.8
ARROZ ,180.0,2,3,43
ZANAHORIA,41.0,0,1,10
CALABAZA,10.0,0,1,2
MANZANA VERDE,48.0,0,0,13
HUEVO ENTERO ,78.0,5,6,1
LENTEJAS ,302.0,2,22,50
AVENA ,353.0,7,17,56
TE CHAI ,102.0,2,3,19
POLLO ,230.0,14,27,0
LICUADO DE PLATANO ,148.0,1,10,31
CREMA DE CACAHUATE ,196.0,16,8,5
ARANDANOS ,85.0,0,0,21
QUESO ,110.0,22,23,0
MERMELADA DE FRESA ,36.0,0,0,9
JICAMA,38.0,0,1,9
DURAZNO ,78.0,1,2,20
BARRITAS,171.0,7,1,25
CAFE ,5.0,0,0,1
AGUA DE MANGO ,120.0,0,0,31
PAPA ,215.0,0,5,50
CHILE PASADO,95.0,14,6,76
CREMA ,87.0,9,1,1
VEGGIE STRAWS ,130.0,7,1,16
MANZANA ROJA,50.0,1,0,11
CAFE  CARAMELO,190.0,1,11,35
QUESADILLA,431.0,20,17,43
POLLO FRITO ,420.0,25,38,12
CHORIZO DE SOYA,56.0,0,9,6
ALMENDRAS ,50.0,5,3,23
CARNE MOLIDA ,276.0,19,25,0
POLLO EN CREMA ,636.0,24,65,71
MANGO,60.0,0,1,15
PAN INTEGRAL,154.0,2,8,26
SALSA DE TOMATE,38.0,0,0,8
CHILACA ,32.0,0,1,7
TACOS ,225.0,12,12,17
MANTEQUILLA,102.0,12,0,0
PEPINO,32.0,0,1,7
CAFE AMERICANO,15.0,0,1,3
CHILE JALAPENO,4.0,0,0,1
CEREAL,100.0,0,2,24
GALLETA CHISPAS CHOCOLATE ,198.0,3,1,6
CHAMPINON,11.0,0,2,2
CHOCOLATE CARLOS V ,44.0,2,0,0
CHOCOMILK ,157.0,4,8,23
SPAGHUETTI ,201.0,1,7,41
CACAHUATES,117.0,10,5,4
CARNE DE PUERCO ,250.0,15,28,0
PURE DE PAPA ,113.0,4,2,17
SALCHICHA ,90.0,6,6,3
NACHOS ,310.0,17,4,34
TOSTITOS,226.0,10,4,30
JARRITOS,64.0,0,0,16
FRAPPE FRUTOS ROJOS,53.0,1,1,7
SALCHICHON,140.0,13,6,10
PAN TOSTADO CON CACAHUATE,180.0,16,7,6
JUGO DE CAJA DE FRESA,84.0,0,0,21
BARRA DE CACAHUATE,340.0,20,9,31
PAPITAS DORITOS,306.0,15,4,38
DULCES MIKE&IKE,110.0,0,0,27
PINGUINOS ,154.0,6,2,23
BURRITO CHILE RELLENO,400.0,14,35,30
PIZZA,280.0,11,13,31
AGUA DE MELON,90.0,0,0,1
ELOTE ENTERO,45.0,0,2,10.4
MELON,150.0,0,3,24
GALLETAS PRINCIPE,52.0,2,1,7
DULCES SKITTLES,110.0,21,0,26
PAPITAS TAKIS,150.0,8,2,18
JUGO DE CAJA DE GUAYABA,96.0,0,0,24
PANINI ,470.0,15,20,57
HAMBURGUESA DE CAMARON,565.0,23,44,43
SMOOTHIE MANGO,290.0,5,13,50
DR. PEPPER,180.0,0,0,48
BEBIDA ENERGETICA XS,0.0,0,0,0
CEREAL CINNAMON TOASTERS,183.0,5.9,5.3,27.2
MOLE DULCE,250.0,6,20,10
BONELESS,230.0,15,21,1
GALLETAS EMPERADOR,139.0,5.7,1.9,20
LECHE ENTERA,154.0,8,8,12
ENCHILADAS,319.0,18.84,9.63,28.54
AGUA DE SANDIA,95.0,0,0,24
ENSALADA DE POLLO,58.0,1.13,9.49,2.13
FLAUTAS DE POLLO,319.0,22.51,12.32,17.81
JUGO PINA COLADA,132.0,0.3,0.9,32.18
SOPA DE FIDEOS,80.0,0.9,2.3,15.7
ESTOFADO DE CARNE CON VERDURAS,207.0,5.75,16.63,21.9
AZUCAR DE CANA,15.0,0,0,4
SODA MOUNTAIN DEW,170.0,0,0,46
PAPITAS PRINGLES,150.0,9,1,16
JUGO DE UVA,8.0,0,0,1
LECHERA,92.0,1.5,1.92,17.7
MERMELADA DE MANZANA,55.0,0.03,0.11,14
JUGO DE DURAZNO,88.0,0,0,22
GALLETAS OREO,180.0,8,1.7,25
PAN DULCE,213.0,9.67,3.48,28.57
ENSALADA DE ATUN,142.0,9.5,10.5,3.7
FANTA SABOR UVA,108.0,0,0,27
CHULETA AHUMADA,150.0,6.96,19.97,0.46
GANSITO,185.0,8,2,27
DONA GLASEADA,250.0,11.94,2.7,34.44
CALDO DE CARNE,7.0,0.19,0.84,0.8
TORTILLA DE MAIZ,60.0,1,1,12
CERVEZA,103.0,0,0.85,5.81
DISCADA,251.0,17.97,19.47,1.51
PINA,74.0,0.19,0.84,19.58
GALLETAS MARIA,120.0,2.1,2.2,23.1
FANTA SABOR FRESA,104.0,0,0,26
SUBMARINOS,120.0,4.5,2,19
LECHE HERSHEY'S,139.5,2.7,6.8,22
PAPA ASADA,203.0,9.52,3.16,27.28
CARNE SECA ,100.0,2.5,18,0
HIGOS,37.0,0.15,0.38,9.59
PESCADO FRITO,206.0,11.42,18.15,6.71
ENSALADA DE VERDURAS,12.0,0.12,0.63,2.77
KIWI,46.0,0.4,0.87,11.14
PAY CON NUEZ MARINELA,310.0,14,4,42
BURRITO PICADILLO,280.0,8,18,34
PALOMITAS,148.0,7.6,2.9,17
BROWNIE,280.0,12,2,40
ANDATTI CAPUCHINO,131.0,8.7,5.2,39.8
CALDO DE CAMARON,206.0,3,0,22
LIMONADA,99.0,0.1,0.17,25.87
FRIJOLES CHARROS,202.0,14,8,10
CEREAL REESE'S PUFFS,170.0,4.5,3,30
DEL VALLE FRUT MANGO,84.0,0,0,21
SABRITAS ADOBADAS,149.0,9,2,15
CHULETA T-BONE,220.0,13,22,0
COCA COLA,149.0,0,0,37
CHIPS AHOY,160.0,8,1,22
PASTEL,300.0,17,7,31
CACAHUATES NUTS,484.0,36,23,17
TROZOS DE NARANJA ENVASADOS,90.0,0,1,22
DULCE SOUR PATCH KIDS,150.0,0,0,37
POWERADE,64.0,0,0,16
ARIZONA KIWI/FRESA,117.0,0,0,29
SANDWICH,271.0,11.59,13.05,27.87
CEVICHE,70.0,0.98,11.14,4.09
SKITTLES,97.0,4,0,91
SALCHICHA CON PAPAS,210.0,10,9,27
JUGO DE NARANJA,112.0,0.5,1.74,25.79
YOGURT FRESA,110.0,2,4,19
NIEVE HOLANDA,117.0,4,1,18
LECHE DE ALMENDRA,40.0,3.58,1.51,1.4
CACAHUATES JAPONESES,211.0,11,9,19
LECHE HERSHEY'S,139.5,2.7,6.8,22
COSTILLAS,296.0,22.13,21.71,0
TACOS DE BARBACOA,196.0,10.93,9.77,16.17
JUGO DE PINA,132.0,0,0,33
CAMARONES,154.0,5.03,24.47,1.17
BROCOLI,34.0,0.4,2.3,6.93
PINA COLADA,230.0,2.54,0.58,29.65
VASO DE AGUA,0.0,0,0,0
MONSTER,25.0,0,0,0
PERA,57.0,0.1,0.4,15.2
GATORADE,78.0,0,0,19.2
SPRITE,120.0,0,0,30.3
